timestamp,elapsed_s,bat_level,bat_voltage,bat_temp,charge_uAh,bat_status,cpu0_khz,cpu4_khz,cpu7_khz,t_cpu0,t_cpu7,t_gpu0,t_nsp0,t_nsp1,t_skin,t_shell,t_battery
22:52:21,430,71,4018,358,3976000,3,1459200,1401600,2035200,80.6,89.9,61.1,63.2,63.6,51.2,39.0,33.7
22:52:31,440,71,4018,358,3976000,3,1804800,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,39.0,33.7
22:52:42,450,71,4018,358,3976000,3,556800,729600,2035200,80.6,89.9,61.1,63.2,63.6,51.2,39.0,33.7
22:52:52,460,70,4016,360,3958000,3,672000,1401600,2035200,80.6,89.9,61.1,63.2,63.6,51.2,39.0,33.7
22:53:02,470,70,4012,360,3954000,3,1804800,1401600,1478400,80.6,89.9,61.1,63.2,63.6,51.2,39.0,33.7
22:53:13,480,70,4012,360,3954000,3,1689600,1612800,576000,80.6,89.9,61.1,63.2,63.6,51.2,39.0,33.7
22:53:23,490,70,4012,360,3954000,3,1132800,1190400,480000,80.6,89.9,61.1,63.2,63.6,51.2,39.0,33.7
22:53:34,500,70,4012,360,3954000,3,1459200,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,39.0,33.7
22:53:44,510,70,4012,360,3954000,3,460800,960000,480000,80.6,89.9,61.1,63.2,63.6,51.2,39.0,33.7
22:53:54,520,70,4012,360,3954000,3,902400,2035200,480000,80.6,89.9,61.1,63.2,63.6,51.2,39.0,33.7
22:54:05,530,70,4033,363,3931000,3,1459200,2035200,480000,80.6,89.9,61.1,63.2,63.6,51.2,39.0,33.7
22:54:15,540,70,4033,363,3931000,3,787200,1401600,2035200,80.6,89.9,61.1,63.2,63.6,51.2,39.0,33.7
22:54:25,550,70,4033,363,3931000,3,1804800,1612800,480000,80.6,89.9,61.1,63.2,63.6,51.2,39.0,33.7
22:54:36,560,70,4033,363,3931000,3,1804800,1401600,1363200,80.6,89.9,61.1,63.2,63.6,51.2,39.0,33.7
22:54:46,570,70,4033,363,3931000,3,460800,1497600,480000,80.6,89.9,61.1,63.2,63.6,51.2,39.0,33.7
22:54:56,580,70,4033,363,3931000,3,1804800,1401600,2035200,80.6,89.9,61.1,63.2,63.6,51.2,39.0,33.7
22:55:07,590,70,4009,366,3909000,3,1344000,1075200,480000,80.6,89.9,61.1,63.2,63.6,51.2,39.0,33.7
22:55:17,600,70,4009,366,3909000,3,1459200,1190400,480000,80.6,89.9,61.1,63.2,63.6,51.2,39.0,33.7
22:55:27,610,69,4000,366,3901000,3,1459200,2035200,480000,80.6,89.9,61.1,63.2,63.6,51.2,39.0,33.7
22:55:38,620,69,4000,366,3901000,3,1459200,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,39.0,33.7
22:55:48,630,69,3999,367,3892000,3,1459200,1190400,576000,80.6,89.9,61.1,63.2,63.6,51.2,39.0,33.7
22:55:59,640,69,3999,367,3892000,3,1459200,2572800,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
22:56:09,650,69,3998,368,3887000,3,1804800,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
22:56:19,660,69,3998,368,3887000,3,1804800,499200,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
22:56:30,670,69,3998,368,3887000,3,1689600,1075200,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
22:56:40,680,69,3998,368,3887000,3,1459200,1286400,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
22:56:50,690,69,3998,368,3887000,3,1804800,1401600,576000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
22:57:01,700,69,3997,370,3865000,3,1459200,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
22:57:11,710,69,3997,370,3865000,3,1804800,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
22:57:22,720,69,3997,370,3865000,3,556800,1190400,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
22:57:32,730,69,3997,370,3865000,3,1804800,1190400,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
22:57:42,740,69,3997,370,3865000,3,1689600,1612800,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
22:57:53,750,69,3997,370,3865000,3,1689600,1286400,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
22:58:03,760,68,3993,373,3842000,3,1804800,614400,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
22:58:13,770,68,3993,373,3842000,3,1459200,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
22:58:24,780,68,3993,373,3842000,3,1459200,1612800,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
22:58:34,790,68,3993,373,3842000,3,1574400,1190400,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
22:58:44,800,68,3993,373,3842000,3,1459200,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
22:58:55,810,68,3993,373,3842000,3,902400,1401600,1593600,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
22:59:05,820,68,4003,375,3820000,3,1804800,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
22:59:16,830,68,4003,375,3820000,3,1804800,1401600,1593600,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
22:59:26,840,68,4003,375,3820000,3,1804800,844800,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
22:59:36,850,68,4003,375,3820000,3,1804800,960000,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
22:59:47,860,68,4003,375,3820000,3,1344000,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
22:59:57,870,68,4003,375,3820000,3,1248000,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:00:07,880,68,3989,377,3798000,3,1459200,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:00:18,890,68,3989,377,3798000,3,1344000,2572800,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:00:28,900,68,3989,377,3798000,3,902400,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:00:38,910,67,3986,377,3786000,3,1344000,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:00:49,920,67,3986,377,3786000,3,1459200,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:00:59,930,67,3986,377,3786000,3,1459200,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:01:09,940,67,3980,378,3775000,3,1804800,1401600,576000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:01:20,950,67,3980,378,3775000,3,787200,1286400,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:01:30,960,67,3980,378,3775000,3,1017600,2035200,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:01:40,970,67,3980,378,3775000,3,1804800,1612800,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:01:51,980,67,3980,378,3775000,3,1574400,960000,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:02:01,990,67,3978,380,3753000,3,1689600,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:02:11,1000,67,3978,380,3753000,3,1689600,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:02:22,1010,67,3978,380,3753000,3,460800,2035200,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
