03-20 20:07:58.678 V/mpv     (12886): [anvil:info] ANVIL[GPU/Q/async]: total=28.4ms  P1a=3.9  GPU=2.8  copy=1.2  P3=14.7  P4(GPU)=2.9
03-20 20:07:59.872 V/mpv     (12886): [anvil:info] ANVIL[GPU/Q/async]: total=26.3ms  P1a=3.6  GPU=2.7  copy=1.1  P3=13.5  P4(GPU)=2.8
03-20 20:08:01.072 V/mpv     (12886): [anvil:info] ANVIL[GPU/Q/async]: total=23.1ms  P1a=2.6  GPU=2.7  copy=0.7  P3=13.1  P4(GPU)=2.8
03-20 20:08:02.277 V/mpv     (12886): [anvil:info] ANVIL[GPU/Q/async]: total=27.4ms  P1a=3.6  GPU=2.8  copy=1.0  P3=14.5  P4(GPU)=2.9
03-20 20:08:03.476 V/mpv     (12886): [anvil:info] ANVIL[GPU/Q/async]: total=26.1ms  P1a=3.7  GPU=2.8  copy=1.0  P3=13.6  P4(GPU)=2.7
03-20 20:08:04.677 V/mpv     (12886): [anvil:info] ANVIL[GPU/Q/async]: total=27.4ms  P1a=3.7  GPU=2.7  copy=1.0  P3=14.4  P4(GPU)=3.0
03-20 20:08:05.973 V/mpv     (12886): [anvil:info] ANVIL[GPU/Q/async]: total=27.6ms  P1a=3.6  GPU=2.7  copy=1.0  P3=15.1  P4(GPU)=2.9
03-20 20:08:07.174 V/mpv     (12886): [anvil:info] ANVIL[GPU/Q/async]: total=27.9ms  P1a=3.9  GPU=2.8  copy=1.1  P3=14.4  P4(GPU)=2.9
03-20 20:08:08.373 V/mpv     (12886): [anvil:info] ANVIL[GPU/Q/async]: total=27.7ms  P1a=3.8  GPU=2.7  copy=1.1  P3=14.3  P4(GPU)=2.9
03-20 20:08:09.573 V/mpv     (12886): [anvil:info] ANVIL[GPU/Q/async]: total=26.8ms  P1a=3.6  GPU=2.6  copy=0.9  P3=14.3  P4(GPU)=3.0
03-20 20:08:10.773 V/mpv     (12886): [anvil:info] ANVIL[GPU/Q/async]: total=27.2ms  P1a=3.8  GPU=2.8  copy=1.0  P3=13.7  P4(GPU)=3.0
03-20 20:08:11.973 V/mpv     (12886): [anvil:info] ANVIL[GPU/Q/async]: total=27.6ms  P1a=3.8  GPU=2.8  copy=1.0  P3=13.8  P4(GPU)=3.3
03-20 20:08:13.174 V/mpv     (12886): [anvil:info] ANVIL[GPU/Q/async]: total=28.6ms  P1a=4.0  GPU=2.8  copy=1.1  P3=14.7  P4(GPU)=2.9
